Order ID,Date,Customer ID,Product,Category,Region,Quantity,Unit Price,Revenue
5027,2024-09-09,CUST1203,Laptop Stand,Electronics,West,7,899,6293
5028,2024-09-09,CUST1324,Notebook Pack,Office Supplies,West,7,249,1743
5029,2024-09-09,CUST1106,Bluetooth Speaker,Electronics,North,8,1999,15992
5030,2024-09-10,CUST1052,Smart Watch,Electronics,North,1,3499,3499
5031,2024-09-10,CUST1186,Electric Kettle,Home & Kitchen,North,1,999,999
5032,2024-09-10,CUST1076,Bluetooth Speaker,Electronics,West,5,1999,9995
5033,2024-09-11,CUST1059,Winter Jacket,Apparel,North,8,3299,26392
5034,2024-09-11,CUST1159,Whiteboard,Office Supplies,West,2,1499,2998
5035,2024-09-11,CUST1379,Air Fryer,Home & Kitchen,East,5,4499,22495
5036,2024-09-11,CUST1105,Ergonomic Chair,Office Supplies,North,6,6999,41994
5037,2024-09-12,CUST1329,USB-C Hub,Electronics,East,2,1299,2598
5038,2024-09-12,CUST1085,Sports Cap,Apparel,East,6,399,2394
5039,2024-09-12,CUST1325,Electric Kettle,Home & Kitchen,East,4,999,3996
5040,2024-09-13,CUST1102,Non-Stick Pan Set,Home & Kitchen,South,8,2299,18392
5041,2024-09-13,CUST1143,Running Shoes,Apparel,North,8,2499,19992
5042,2024-09-13,CUST1228,Denim Jacket,Apparel,East,6,1999,11994
5043,2024-09-14,CUST1116,Bluetooth Speaker,Electronics,North,8,1999,15992
5044,2024-09-14,CUST1247,Blender,Home & Kitchen,South,1,1799,1799
5045,2024-09-14,CUST1338,Desk Organizer,Office Supplies,North,2,799,1598
5046,2024-09-14,CUST1091,Ergonomic Chair,Office Supplies,West,7,6999,48993
5047,2024-09-15,CUST1205,Laptop Stand,Electronics,West,2,899,1798
5048,2024-09-15,CUST1014,Coffee Maker,Home & Kitchen,South,3,2999,8997
5049,2024-09-15,CUST1336,Ergonomic Chair,Office Supplies,West,6,6999,41994
5050,2024-09-15,CUST1010,Electric Kettle,Home & Kitchen,South,1,999,999
5051,2024-09-16,CUST1108,Non-Stick Pan Set,Home & Kitchen,South,1,2299,2299
5052,2024-09-16,CUST1256,Denim Jacket,Apparel,East,4,1999,7996
5053,2024-09-17,CUST1067,Sports Cap,Apparel,West,1,399,399
5054,2024-09-17,CUST1256,Winter Jacket,Apparel,West,3,3299,9897
5055,2024-09-17,CUST1225,Electric Kettle,Home & Kitchen,North,3,999,2997
5056,2024-09-17,CUST1072,Bluetooth Speaker,Electronics,South,8,1999,15992
5057,2024-09-18,CUST1397,Smart Watch,Electronics,West,2,3499,6998
5058,2024-09-18,CUST1141,Bluetooth Speaker,Electronics,South,1,1999,1999
5059,2024-09-19,CUST1389,LED Desk Lamp,Office Supplies,North,2,1199,2398
5060,2024-09-19,CUST1354,Desk Organizer,Office Supplies,South,5,799,3995
5061,2024-09-20,CUST1357,LED Desk Lamp,Office Supplies,South,5,1199,5995
5062,2024-09-20,CUST1213,Non-Stick Pan Set,Home & Kitchen,South,2,2299,4598
5063,2024-09-20,CUST1037,Whiteboard,Office Supplies,East,4,1499,5996
5064,2024-09-20,CUST1342,Notebook Pack,Office Supplies,South,5,249,1245
5065,2024-09-20,CUST1073,Bluetooth Speaker,Electronics,East,5,1999,9995
5066,2024-09-21,CUST1203,Ergonomic Chair,Office Supplies,North,8,6999,55992
5067,2024-09-21,CUST1361,Coffee Maker,Home & Kitchen,South,7,2999,20993
5068,2024-09-21,CUST1100,Desk Organizer,Office Supplies,West,6,799,4794
5069,2024-09-22,CUST1173,Smart Watch,Electronics,North,8,3499,27992
5070,2024-09-22,CUST1169,Notebook Pack,Office Supplies,West,5,249,1245
5071,2024-09-22,CUST1053,Wireless Earbuds,Electronics,South,2,1499,2998
5072,2024-09-22,CUST1398,Cotton T-Shirt,Apparel,North,3,599,1797
5073,2024-09-23,CUST1207,Non-Stick Pan Set,Home & Kitchen,East,3,2299,6897
5074,2024-09-23,CUST1142,Desk Organizer,Office Supplies,North,1,799,799
5075,2024-09-23,CUST1137,Non-Stick Pan Set,Home & Kitchen,North,1,2299,2299
5076,2024-09-23,CUST1311,Smart Watch,Electronics,North,4,3499,13996
5077,2024-09-24,CUST1005,Running Shoes,Apparel,West,6,2499,14994
5078,2024-09-24,CUST1022,Desk Organizer,Office Supplies,South,4,799,3196
5079,2024-09-25,CUST1092,Blender,Home & Kitchen,North,4,1799,7196
5080,2024-09-25,CUST1148,Cotton T-Shirt,Apparel,South,8,599,4792
5081,2024-09-26,CUST1128,Cotton T-Shirt,Apparel,North,1,599,599
5082,2024-09-26,CUST1263,Wireless Earbuds,Electronics,South,8,1499,11992
5083,2024-09-26,CUST1337,Non-Stick Pan Set,Home & Kitchen,North,7,2299,16093
5084,2024-09-27,CUST1352,LED Desk Lamp,Office Supplies,East,4,1199,4796
5085,2024-09-27,CUST1361,Blender,Home & Kitchen,South,3,1799,5397
5086,2024-09-27,CUST1066,Desk Organizer,Office Supplies,North,1,799,799
5087,2024-09-27,CUST1083,Smart Watch,Electronics,West,1,3499,3499
5088,2024-09-27,CUST1306,Laptop Stand,Electronics,East,4,899,3596
5089,2024-09-28,CUST1080,Laptop Stand,Electronics,South,5,899,4495
5090,2024-09-28,CUST1186,Notebook Pack,Office Supplies,East,6,249,1494
5091,2024-09-28,CUST1158,Denim Jacket,Apparel,North,4,1999,7996
5092,2024-09-28,CUST1171,Denim Jacket,Apparel,North,7,1999,13993
5093,2024-09-29,CUST1127,Desk Organizer,Office Supplies,South,1,799,799
5094,2024-09-29,CUST1073,Smart Watch,Electronics,North,7,3499,24493
5095,2024-09-30,CUST1155,Notebook Pack,Office Supplies,East,4,249,996
5096,2024-09-30,CUST1336,USB-C Hub,Electronics,South,7,1299,9093
5097,2024-10-01,CUST1370,Ergonomic Chair,Office Supplies,East,3,6999,20997
5098,2024-10-01,CUST1375,USB-C Hub,Electronics,West,3,1299,3897
5099,2024-10-01,CUST1043,USB-C Hub,Electronics,South,1,1299,1299
5100,2024-10-01,CUST1053,Bluetooth Speaker,Electronics,East,7,1999,13993
5101,2024-10-02,CUST1250,Wireless Earbuds,Electronics,South,5,1499,7495
5102,2024-10-02,CUST1383,Laptop Stand,Electronics,North,2,899,1798
5103,2024-10-02,CUST1038,Laptop Stand,Electronics,East,5,899,4495
5104,2024-10-02,CUST1378,Coffee Maker,Home & Kitchen,South,8,2999,23992
5105,2024-10-02,CUST1245,Whiteboard,Office Supplies,North,5,1499,7495
5106,2024-10-03,CUST1169,Air Fryer,Home & Kitchen,South,5,4499,22495
5107,2024-10-03,CUST1006,Sports Cap,Apparel,South,8,399,3192
5108,2024-10-04,CUST1354,Desk Organizer,Office Supplies,North,4,799,3196
5109,2024-10-04,CUST1237,Desk Organizer,Office Supplies,East,8,799,6392
5110,2024-10-05,CUST1159,USB-C Hub,Electronics,South,2,1299,2598
5111,2024-10-05,CUST1234,Notebook Pack,Office Supplies,East,2,249,498
5112,2024-10-05,CUST1107,Desk Organizer,Office Supplies,West,4,799,3196
5113,2024-10-05,CUST1072,USB-C Hub,Electronics,North,5,1299,6495
5114,2024-10-05,CUST1057,Denim Jacket,Apparel,East,6,1999,11994
5115,2024-10-06,CUST1012,Whiteboard,Office Supplies,West,3,1499,4497
5116,2024-10-06,CUST1207,Laptop Stand,Electronics,West,5,899,4495
5117,2024-10-06,CUST1192,Non-Stick Pan Set,Home & Kitchen,East,6,2299,13794
5118,2024-10-07,CUST1384,Running Shoes,Apparel,East,6,2499,14994
5119,2024-10-07,CUST1365,Notebook Pack,Office Supplies,South,1,249,249
5120,2024-10-08,CUST1201,Cotton T-Shirt,Apparel,North,7,599,4193
5121,2024-10-08,CUST1386,Smart Watch,Electronics,West,5,3499,17495
5122,2024-10-08,CUST1026,Smart Watch,Electronics,North,5,3499,17495
5123,2024-10-08,CUST1223,Coffee Maker,Home & Kitchen,East,6,2999,17994
5124,2024-10-09,CUST1389,Winter Jacket,Apparel,North,7,3299,23093
5125,2024-10-09,CUST1374,Air Fryer,Home & Kitchen,North,7,4499,31493
5126,2024-10-09,CUST1329,LED Desk Lamp,Office Supplies,South,5,1199,5995
5127,2024-10-10,CUST1087,USB-C Hub,Electronics,South,8,1299,10392
5128,2024-10-10,CUST1152,Desk Organizer,Office Supplies,East,5,799,3995
5129,2024-10-10,CUST1154,Winter Jacket,Apparel,South,8,3299,26392
5130,2024-10-10,CUST1329,Notebook Pack,Office Supplies,South,3,249,747
5131,2024-10-10,CUST1281,Bluetooth Speaker,Electronics,West,4,1999,7996
5132,2024-10-11,CUST1071,Winter Jacket,Apparel,West,4,3299,13196
5133,2024-10-11,CUST1175,Air Fryer,Home & Kitchen,South,2,4499,8998
5134,2024-10-11,CUST1132,Denim Jacket,Apparel,East,4,1999,7996
5135,2024-10-11,CUST1211,Laptop Stand,Electronics,West,4,899,3596
5136,2024-10-11,CUST1385,Desk Organizer,Office Supplies,East,1,799,799
5137,2024-10-12,CUST1064,Sports Cap,Apparel,East,4,399,1596
5138,2024-10-12,CUST1196,Smart Watch,Electronics,South,7,3499,24493
5139,2024-10-12,CUST1011,Whiteboard,Office Supplies,East,3,1499,4497
5140,2024-10-12,CUST1300,Laptop Stand,Electronics,West,8,899,7192
5141,2024-10-12,CUST1270,Wireless Earbuds,Electronics,West,8,1499,11992
5142,2024-10-13,CUST1079,Air Fryer,Home & Kitchen,South,3,4499,13497
5143,2024-10-13,CUST1282,Laptop Stand,Electronics,North,1,899,899
5144,2024-10-13,CUST1291,Bluetooth Speaker,Electronics,South,1,1999,1999
5145,2024-10-13,CUST1270,Denim Jacket,Apparel,East,7,1999,13993
5146,2024-10-13,CUST1153,Wireless Earbuds,Electronics,North,4,1499,5996
5147,2024-10-14,CUST1005,Denim Jacket,Apparel,North,5,1999,9995
5148,2024-10-14,CUST1330,Desk Organizer,Office Supplies,East,4,799,3196
5149,2024-10-14,CUST1280,LED Desk Lamp,Office Supplies,South,4,1199,4796
5150,2024-10-14,CUST1028,Laptop Stand,Electronics,East,1,899,899
5151,2024-10-14,CUST1041,Non-Stick Pan Set,Home & Kitchen,West,5,2299,11495
5152,2024-10-15,CUST1252,Desk Organizer,Office Supplies,South,1,799,799
5153,2024-10-15,CUST1349,Winter Jacket,Apparel,East,7,3299,23093
5154,2024-10-15,CUST1378,Air Fryer,Home & Kitchen,East,2,4499,8998
5155,2024-10-16,CUST1392,Ergonomic Chair,Office Supplies,East,4,6999,27996
5156,2024-10-16,CUST1135,Non-Stick Pan Set,Home & Kitchen,South,5,2299,11495
5157,2024-10-16,CUST1312,USB-C Hub,Electronics,West,3,1299,3897
5158,2024-10-17,CUST1304,Whiteboard,Office Supplies,North,3,1499,4497
5159,2024-10-17,CUST1012,Notebook Pack,Office Supplies,South,3,249,747
5160,2024-10-17,CUST1094,Notebook Pack,Office Supplies,North,7,249,1743
5161,2024-10-18,CUST1084,Running Shoes,Apparel,North,6,2499,14994
5162,2024-10-18,CUST1016,Coffee Maker,Home & Kitchen,West,5,2999,14995
5163,2024-10-18,CUST1226,Desk Organizer,Office Supplies,East,3,799,2397
5164,2024-10-18,CUST1143,Wireless Earbuds,Electronics,North,2,1499,2998
5165,2024-10-18,CUST1287,Winter Jacket,Apparel,North,4,3299,13196
5166,2024-10-19,CUST1044,Cotton T-Shirt,Apparel,West,1,599,599
5167,2024-10-19,CUST1277,Ergonomic Chair,Office Supplies,East,8,6999,55992
5168,2024-10-19,CUST1377,Blender,Home & Kitchen,East,8,1799,14392
5169,2024-10-19,CUST1320,Laptop Stand,Electronics,South,7,899,6293
5170,2024-10-19,CUST1237,Laptop Stand,Electronics,North,2,899,1798
5171,2024-10-20,CUST1310,Denim Jacket,Apparel,North,6,1999,11994
5172,2024-10-20,CUST1315,Cotton T-Shirt,Apparel,East,1,599,599
5173,2024-10-21,CUST1001,Cotton T-Shirt,Apparel,East,2,599,1198
5174,2024-10-21,CUST1243,Bluetooth Speaker,Electronics,North,8,1999,15992
5175,2024-10-21,CUST1252,Desk Organizer,Office Supplies,West,3,799,2397
5176,2024-10-21,CUST1378,Ergonomic Chair,Office Supplies,North,5,6999,34995
5177,2024-10-22,CUST1235,Blender,Home & Kitchen,East,6,1799,10794
5178,2024-10-22,CUST1200,USB-C Hub,Electronics,South,3,1299,3897
5179,2024-10-22,CUST1332,Non-Stick Pan Set,Home & Kitchen,North,1,2299,2299
5180,2024-10-23,CUST1053,Denim Jacket,Apparel,West,2,1999,3998
5181,2024-10-23,CUST1106,Sports Cap,Apparel,North,2,399,798
5182,2024-10-23,CUST1088,Whiteboard,Office Supplies,West,4,1499,5996
5183,2024-10-23,CUST1317,Non-Stick Pan Set,Home & Kitchen,West,4,2299,9196
5184,2024-10-23,CUST1143,Smart Watch,Electronics,East,5,3499,17495
5185,2024-10-24,CUST1224,Cotton T-Shirt,Apparel,South,4,599,2396
5186,2024-10-24,CUST1078,Coffee Maker,Home & Kitchen,South,5,2999,14995
5187,2024-10-24,CUST1202,Blender,Home & Kitchen,North,5,1799,8995
5188,2024-10-24,CUST1332,Electric Kettle,Home & Kitchen,South,2,999,1998
5189,2024-10-25,CUST1243,Wireless Earbuds,Electronics,North,4,1499,5996
5190,2024-10-25,CUST1150,Desk Organizer,Office Supplies,North,4,799,3196
5191,2024-10-25,CUST1307,Wireless Earbuds,Electronics,South,4,1499,5996
5192,2024-10-25,CUST1229,Smart Watch,Electronics,South,5,3499,17495
5193,2024-10-25,CUST1111,Wireless Earbuds,Electronics,East,1,1499,1499
5194,2024-10-26,CUST1104,Denim Jacket,Apparel,North,5,1999,9995
5195,2024-10-26,CUST1005,USB-C Hub,Electronics,South,6,1299,7794
5196,2024-10-26,CUST1317,Desk Organizer,Office Supplies,South,5,799,3995
5197,2024-10-26,CUST1253,Bluetooth Speaker,Electronics,North,8,1999,15992
5198,2024-10-27,CUST1339,Notebook Pack,Office Supplies,West,3,249,747
5199,2024-10-27,CUST1356,Bluetooth Speaker,Electronics,West,5,1999,9995
5200,2024-10-28,CUST1026,Cotton T-Shirt,Apparel,West,5,599,2995
5201,2024-10-28,CUST1009,Winter Jacket,Apparel,West,6,3299,19794
5202,2024-10-28,CUST1104,Non-Stick Pan Set,Home & Kitchen,West,1,2299,2299
5203,2024-10-28,CUST1058,Ergonomic Chair,Office Supplies,West,2,6999,13998
5204,2024-10-28,CUST1235,LED Desk Lamp,Office Supplies,East,3,1199,3597
5205,2024-10-29,CUST1328,Wireless Earbuds,Electronics,South,7,1499,10493
5206,2024-10-29,CUST1377,USB-C Hub,Electronics,East,3,1299,3897
5207,2024-10-29,CUST1082,Blender,Home & Kitchen,East,3,1799,5397
5208,2024-10-30,CUST1385,Laptop Stand,Electronics,West,4,899,3596
5209,2024-10-30,CUST1247,Denim Jacket,Apparel,North,6,1999,11994
5210,2024-10-31,CUST1327,Notebook Pack,Office Supplies,South,4,249,996
5211,2024-10-31,CUST1242,LED Desk Lamp,Office Supplies,South,3,1199,3597
5212,2024-11-01,CUST1196,Laptop Stand,Electronics,South,6,899,5394
5213,2024-11-01,CUST1371,Bluetooth Speaker,Electronics,South,4,1999,7996
5214,2024-11-01,CUST1341,USB-C Hub,Electronics,North,6,1299,7794
5215,2024-11-01,CUST1281,Laptop Stand,Electronics,West,5,899,4495
5216,2024-11-02,CUST1217,Sports Cap,Apparel,South,7,399,2793
5217,2024-11-02,CUST1091,Winter Jacket,Apparel,West,1,3299,3299
5218,2024-11-02,CUST1238,USB-C Hub,Electronics,West,4,1299,5196
5219,2024-11-02,CUST1091,LED Desk Lamp,Office Supplies,West,8,1199,9592
5220,2024-11-02,CUST1065,Notebook Pack,Office Supplies,North,6,249,1494
5221,2024-11-02,CUST1226,Desk Organizer,Office Supplies,North,1,799,799
5222,2024-11-02,CUST1375,Bluetooth Speaker,Electronics,North,6,1999,11994
5223,2024-11-03,CUST1334,USB-C Hub,Electronics,West,3,1299,3897
5224,2024-11-03,CUST1099,Wireless Earbuds,Electronics,North,3,1499,4497
5225,2024-11-03,CUST1351,Desk Organizer,Office Supplies,South,4,799,3196
5226,2024-11-04,CUST1081,Sports Cap,Apparel,East,6,399,2394
5227,2024-11-04,CUST1130,Winter Jacket,Apparel,South,8,3299,26392
5228,2024-11-04,CUST1315,Electric Kettle,Home & Kitchen,East,4,999,3996
5229,2024-11-05,CUST1093,Running Shoes,Apparel,South,7,2499,17493
5230,2024-11-05,CUST1192,Blender,Home & Kitchen,East,3,1799,5397
5231,2024-11-05,CUST1325,Running Shoes,Apparel,North,6,2499,14994
5232,2024-11-05,CUST1129,LED Desk Lamp,Office Supplies,North,7,1199,8393
5233,2024-11-05,CUST1188,Cotton T-Shirt,Apparel,West,3,599,1797
5234,2024-11-06,CUST1117,Running Shoes,Apparel,West,3,2499,7497
5235,2024-11-06,CUST1158,Smart Watch,Electronics,East,6,3499,20994
5236,2024-11-06,CUST1076,Wireless Earbuds,Electronics,South,5,1499,7495
5237,2024-11-06,CUST1024,Whiteboard,Office Supplies,East,3,1499,4497
5238,2024-11-06,CUST1011,Ergonomic Chair,Office Supplies,North,1,6999,6999
5239,2024-11-07,CUST1267,Cotton T-Shirt,Apparel,North,6,599,3594
5240,2024-11-07,CUST1301,Non-Stick Pan Set,Home & Kitchen,East,3,2299,6897
5241,2024-11-07,CUST1081,Blender,Home & Kitchen,West,3,1799,5397
5242,2024-11-08,CUST1049,Coffee Maker,Home & Kitchen,West,2,2999,5998
5243,2024-11-08,CUST1135,Blender,Home & Kitchen,West,1,1799,1799
5244,2024-11-08,CUST1304,USB-C Hub,Electronics,East,8,1299,10392
5245,2024-11-09,CUST1022,Coffee Maker,Home & Kitchen,North,1,2999,2999
5246,2024-11-09,CUST1121,Laptop Stand,Electronics,South,3,899,2697
5247,2024-11-09,CUST1313,Wireless Earbuds,Electronics,North,4,1499,5996
5248,2024-11-09,CUST1265,Non-Stick Pan Set,Home & Kitchen,South,7,2299,16093
5249,2024-11-09,CUST1032,Electric Kettle,Home & Kitchen,East,5,999,4995
5250,2024-11-09,CUST1192,Laptop Stand,Electronics,North,7,899,6293
5251,2024-11-09,CUST1089,Notebook Pack,Office Supplies,West,4,249,996
5252,2024-11-10,CUST1063,Denim Jacket,Apparel,North,6,1999,11994
5253,2024-11-10,CUST1325,Running Shoes,Apparel,East,7,2499,17493
5254,2024-11-10,CUST1043,Cotton T-Shirt,Apparel,South,1,599,599
5255,2024-11-11,CUST1081,Denim Jacket,Apparel,South,6,1999,11994
5256,2024-11-11,CUST1307,Non-Stick Pan Set,Home & Kitchen,East,4,2299,9196
5257,2024-11-11,CUST1241,LED Desk Lamp,Office Supplies,West,1,1199,1199
5258,2024-11-11,CUST1292,Laptop Stand,Electronics,South,5,899,4495
5259,2024-11-12,CUST1289,LED Desk Lamp,Office Supplies,North,3,1199,3597
5260,2024-11-12,CUST1057,Air Fryer,Home & Kitchen,North,2,4499,8998
5261,2024-11-12,CUST1358,Blender,Home & Kitchen,South,1,1799,1799
5262,2024-11-12,CUST1354,Wireless Earbuds,Electronics,South,1,1499,1499
5263,2024-11-13,CUST1102,Wireless Earbuds,Electronics,East,2,1499,2998
5264,2024-11-13,CUST1105,Notebook Pack,Office Supplies,South,4,249,996
5265,2024-11-13,CUST1385,Wireless Earbuds,Electronics,North,2,1499,2998
5266,2024-11-14,CUST1050,Notebook Pack,Office Supplies,South,4,249,996
5267,2024-11-14,CUST1216,Cotton T-Shirt,Apparel,East,5,599,2995
5268,2024-11-14,CUST1144,Smart Watch,Electronics,East,1,3499,3499
5269,2024-11-14,CUST1147,Cotton T-Shirt,Apparel,West,1,599,599
5270,2024-11-14,CUST1265,Notebook Pack,Office Supplies,West,2,249,498
5271,2024-11-15,CUST1365,Notebook Pack,Office Supplies,South,2,249,498
5272,2024-11-15,CUST1000,Denim Jacket,Apparel,West,4,1999,7996
5273,2024-11-15,CUST1178,Running Shoes,Apparel,North,8,2499,19992
5274,2024-11-15,CUST1253,Laptop Stand,Electronics,South,6,899,5394
5275,2024-11-15,CUST1145,Sports Cap,Apparel,South,4,399,1596
5276,2024-11-16,CUST1325,Ergonomic Chair,Office Supplies,North,2,6999,13998
5277,2024-11-16,CUST1321,LED Desk Lamp,Office Supplies,North,6,1199,7194
5278,2024-11-16,CUST1202,Running Shoes,Apparel,West,2,2499,4998
5279,2024-11-16,CUST1105,Notebook Pack,Office Supplies,East,5,249,1245
5280,2024-11-17,CUST1194,LED Desk Lamp,Office Supplies,South,4,1199,4796
5281,2024-11-17,CUST1178,Ergonomic Chair,Office Supplies,North,6,6999,41994
5282,2024-11-17,CUST1086,Non-Stick Pan Set,Home & Kitchen,East,8,2299,18392
5283,2024-11-17,CUST1064,Desk Organizer,Office Supplies,South,6,799,4794
5284,2024-11-17,CUST1136,Ergonomic Chair,Office Supplies,South,5,6999,34995
5285,2024-11-18,CUST1308,Coffee Maker,Home & Kitchen,East,6,2999,17994
5286,2024-11-18,CUST1096,Coffee Maker,Home & Kitchen,East,5,2999,14995
5287,2024-11-18,CUST1100,Bluetooth Speaker,Electronics,North,7,1999,13993
5288,2024-11-18,CUST1375,Coffee Maker,Home & Kitchen,East,5,2999,14995
5289,2024-11-19,CUST1326,Denim Jacket,Apparel,North,2,1999,3998
5290,2024-11-19,CUST1237,Denim Jacket,Apparel,West,1,1999,1999
5291,2024-11-19,CUST1355,Laptop Stand,Electronics,West,4,899,3596
5292,2024-11-19,CUST1072,Winter Jacket,Apparel,North,5,3299,16495
5293,2024-11-19,CUST1220,Notebook Pack,Office Supplies,South,7,249,1743
5294,2024-11-19,CUST1347,Electric Kettle,Home & Kitchen,South,3,999,2997
5295,2024-11-19,CUST1160,Laptop Stand,Electronics,West,5,899,4495
5296,2024-11-20,CUST1365,Ergonomic Chair,Office Supplies,West,3,6999,20997
5297,2024-11-20,CUST1233,Winter Jacket,Apparel,West,1,3299,3299
5298,2024-11-20,CUST1335,LED Desk Lamp,Office Supplies,South,6,1199,7194
5299,2024-11-21,CUST1019,Whiteboard,Office Supplies,North,5,1499,7495
5300,2024-11-21,CUST1265,Coffee Maker,Home & Kitchen,South,6,2999,17994
5301,2024-11-21,CUST1277,USB-C Hub,Electronics,West,4,1299,5196
5302,2024-11-22,CUST1210,Smart Watch,Electronics,East,8,3499,27992
5303,2024-11-22,CUST1263,Coffee Maker,Home & Kitchen,West,2,2999,5998
5304,2024-11-22,CUST1140,Running Shoes,Apparel,East,7,2499,17493
5305,2024-11-22,CUST1038,Notebook Pack,Office Supplies,North,7,249,1743
5306,2024-11-22,CUST1055,Desk Organizer,Office Supplies,East,4,799,3196
5307,2024-11-22,CUST1200,Winter Jacket,Apparel,South,8,3299,26392
5308,2024-11-22,CUST1397,Coffee Maker,Home & Kitchen,South,2,2999,5998
5309,2024-11-23,CUST1074,LED Desk Lamp,Office Supplies,South,6,1199,7194
5310,2024-11-23,CUST1389,Whiteboard,Office Supplies,East,3,1499,4497
5311,2024-11-23,CUST1136,Desk Organizer,Office Supplies,South,7,799,5593
5312,2024-11-23,CUST1246,Winter Jacket,Apparel,South,1,3299,3299
5313,2024-11-24,CUST1164,Denim Jacket,Apparel,East,8,1999,15992
5314,2024-11-24,CUST1337,Whiteboard,Office Supplies,North,6,1499,8994
5315,2024-11-24,CUST1029,Blender,Home & Kitchen,West,2,1799,3598
5316,2024-11-24,CUST1324,Denim Jacket,Apparel,East,1,1999,1999
5317,2024-11-24,CUST1335,Bluetooth Speaker,Electronics,North,5,1999,9995
5318,2024-11-25,CUST1119,USB-C Hub,Electronics,South,3,1299,3897
5319,2024-11-25,CUST1106,Desk Organizer,Office Supplies,South,7,799,5593
5320,2024-11-25,CUST1342,Electric Kettle,Home & Kitchen,North,5,999,4995
5321,2024-11-25,CUST1271,Non-Stick Pan Set,Home & Kitchen,South,2,2299,4598
5322,2024-11-25,CUST1135,Notebook Pack,Office Supplies,North,7,249,1743
5323,2024-11-26,CUST1285,Non-Stick Pan Set,Home & Kitchen,West,1,2299,2299
5324,2024-11-26,CUST1358,Whiteboard,Office Supplies,South,8,1499,11992
5325,2024-11-26,CUST1276,Non-Stick Pan Set,Home & Kitchen,South,1,2299,2299
5326,2024-11-26,CUST1356,Blender,Home & Kitchen,West,8,1799,14392
5327,2024-11-27,CUST1214,Desk Organizer,Office Supplies,West,2,799,1598
5328,2024-11-27,CUST1010,Blender,Home & Kitchen,North,1,1799,1799
5329,2024-11-27,CUST1248,Running Shoes,Apparel,West,3,2499,7497
5330,2024-11-27,CUST1320,Bluetooth Speaker,Electronics,West,3,1999,5997
5331,2024-11-27,CUST1174,Running Shoes,Apparel,East,8,2499,19992
5332,2024-11-28,CUST1216,Winter Jacket,Apparel,East,5,3299,16495
5333,2024-11-28,CUST1181,Smart Watch,Electronics,East,8,3499,27992
5334,2024-11-28,CUST1259,Desk Organizer,Office Supplies,East,6,799,4794
5335,2024-11-28,CUST1169,Non-Stick Pan Set,Home & Kitchen,North,4,2299,9196
5336,2024-11-29,CUST1020,Denim Jacket,Apparel,North,7,1999,13993
5337,2024-11-29,CUST1204,LED Desk Lamp,Office Supplies,North,5,1199,5995
5338,2024-11-29,CUST1097,Wireless Earbuds,Electronics,North,8,1499,11992
5339,2024-11-29,CUST1315,USB-C Hub,Electronics,West,3,1299,3897
5340,2024-11-29,CUST1341,Bluetooth Speaker,Electronics,North,8,1999,15992
5341,2024-11-29,CUST1018,Air Fryer,Home & Kitchen,South,7,4499,31493
5342,2024-11-30,CUST1158,Smart Watch,Electronics,South,5,3499,17495
